CONTRATO,STOCK ID,current_monthly_payment,vehicle_equity,saldo insoluto,current_car_price,risk_profile
WF0CP6B98J1C68281,29094,8384.83,297585.25,65413.75,362999,A1
3FADP4CJ8GM147947,28578,4839.69,151048.54,36950.46,187999,A2
VSSGE65F6FR002354,26483,3840,193369.3,24629.7,217999,A1
MEX522609GT032478,27111,3318.92,132251.54,27747.46,159999,A1
3N1AB7AD1HL677472,26137,4440.68,168873.41,29125.59,197999,A1
WBAVL9106FVT83161,29003,3889.57,256284.33,28714.67,284999,C1
TMCJ33A36HJ228933,27712,3944.55,319769.2,28229.8,347999,B
WAUBYA8U3GR038016,24793,5408.4,279462.4,33536.6,312999,A1
MEX5G2608HT039831,30084,3308.77,129175.58,23823.42,152999,A1
9BD197573J3351704,27744,3469.55,144956.62,25042.38,169999,A1
3MDDJADV6HM109312,30637,5236.65,201819.67,38179.33,239999,A1
3VWWB6AU0GM052547,29719,5743.05,198006.73,41992.27,239999,A1
VSSBB26J4HR104818,23060,4089.18,134350.57,33648.43,167999,C1
MEX53260XHT030348,30526,3999.96,145377.3,32621.7,177999,A1
3GNCJ7CE9GL269791,28778,5155.28,164173.53,40825.47,204999,A1
3G1TC5CF7HL261876,31125,3686.98,124325.42,25673.58,149999,A1
WF0CP6B95G1B46244,29204,6306.32,294200.29,3798.71,297999,A1
3MZBM2V76FM172695,22947,3930.22,162936.81,30062.19,192999,A1
1C4RJEBG0FC783887,29239,6366.21,323313.38,46685.62,369999,A1
3MYDLAYV9GY146039,25886,5114.59,154355.46,38643.54,192999,A2
MEX5J2601HT023424,28691,3514.39,144501.97,30497.03,174999,A2
WAUBYA8U6HR073134,29783,3229.31,342100.18,25898.82,367999,A1
MA6CC6CD7GT023841,22374,2734.29,90722.59,25276.41,115999,A1
3VWJW6AT8JM707017,28306,6386.54,256782.31,56216.69,312999,A1
1C4NJCCB7ED720882,32905,3878.3,166778.91,31220.09,197999,A1
3VW7B6AUXFM043356,30120,5699.42,204163.1,43835.9,247999,A1
3FAFP4AJ1GM201570,25442,3835.14,111178.71,33820.29,144999,A1
1FMJK1F5XEEF31784,17769,6438.41,228386.24,54612.76,282999,A2
WDDBF4DB9FV066610,28528,4697.3,251670.87,38328.13,289999,A1
VSSCC6KJ2JR201827,28004,6818.08,256714.81,56284.19,312999,A1
JM1DKDD74J1325675,25542,8033.6,254457.21,63541.79,317999,A1
3VW1M1AJ3GM296917,31807,4214.63,142082.04,37916.96,179999,A1
2T3DFREVXHW541931,32948,3411.54,327557.21,27441.79,354999,A1
3G1B85DM2JS525379,25812,5487.14,189469.07,48529.93,237999,A2
TMCJ33A35JJ461059,29848,5416.19,270583.88,44415.12,314999,A1
3GNCJ7CEXKL403944,31465,5918.17,230149.09,52849.91,282999,A1
3G1TA5AF0GL118064,33732,3382.42,102617.14,30381.86,132999,A1
1C4PJLDB4GW107973,31818,4907.49,277357,42642,319999,A1
3GNCJ7CE0EL220749,32096,3427.84,145640.72,27358.28,172999,A1
3VWWB6AU0GM050507,27670,4697.2,201674.89,38324.11,239999,A1
WBA1D3100EJ486042,30994,5457.15,189649.46,40349.54,229999,A1
JN8BT27V9GW001656,29704,7520.94,234594.89,65404.11,299999,A2
VSSAC65F4JR150720,29733,8615.81,275708.35,74290.65,349999,A1
9FBHS2AAXFM118433,33231,3802.16,145115.87,17883.13,162999,C2
VF3CC5FS5FT000437,30801,2713.93,111157.08,18841.92,129999,A1
VSSFK46J8FR028157,22253,3587.33,116147.21,21851.79,137999,A1
3N1CK3CD2FL254928,21849,3427.38,92508.53,30490.47,122999,A2
MA6CB6AD0GT034637,33894,2940.85,88164.71,26834.29,114999,A1
JM1BN1L39J1187479,25641,5698.2,222209.34,45789.66,267999,A1
WAU8FF8V0HA023561,31787,6498.3,294788.85,53210.15,347999,A1
VSSCD2NH2F1014401,25720,3928.62,132594.1,32404.9,164999,A2
ML3AA28J1GH004101,32609,2675.3,102110.29,20888.71,122999,A2
MA6CB6CD4JT013889,30129,3778.03,106201.66,33797.34,139999,A2
9BD341A53HY466048,28295,2743.53,113362.53,21636.47,134999,A1
1C4AJPAB8GD703228,33938,5428.2,211841.11,33157.89,244999,A1
JM1DKDD72K1418020,32408,5287.12,304973.09,43025.91,347999,A1
3N1CN7AD0GK421098,33117,3927.63,117547.51,35451.49,152999,A2
VF1HR3NB1JC275315,35944,5030.19,312133.74,40865.26,352999,A1
3N1CN7AD8GK436349,30602,4197.75,128581.18,36417.82,164999,A1
WF0CP6A76H1C22314,34354,6229.87,239013.28,58985.72,297999,A2
WBATR1104KLA55379,31743,13783.8,492662.74,115336.26,607999,A1
VSSBG2NHXG1016949,27903,3540.01,146636.44,28362.56,174999,A1
JM1NDAC7XH0120490,21100,4979.73,237557.67,40441.33,277999,A1
9BWAB45U5HP039046,24074,3478.24,123638.2,19360.8,142999,A1
MEX5H2604GT068464,34023,4407.03,113623.55,41375.45,154999,A1
3MZBM2V77FM203775,35106,4449.22,190330.1,19668.9,209999,A2
ML3AB26J3HH028417,35455,3005.71,113550.71,26448.29,139999,A1
3N1AB7AD0FL635579,34689,3283.08,135961.4,29037.6,164999,A1
JN8BT27T8GW023484,29809,6560.79,202871.44,62127.56,264999,A1
MHKMC13E8FK006475,34325,4569.09,132644.42,40354.58,172999,A2
JM1BM1U3XF1274820,24919,3627.3,168644.87,36354.13,204999,A1
1HGCR2656GA900635,24618,3228.92,207490.91,37508.09,244999,B
MEX612608JT021714,22886,3687.23,150458.64,32540.36,182999,A2
3VVHP65N4KM037477,28031,5352.58,348369.28,56629.72,404999,A2
93Y462JS7FJ534577,32133,2925.77,84691.05,30307.95,114999,A1
3N1CB7AE9HY261433,21616,4343.06,214894.18,20104.82,234999,A1
MA6CC6CDXHT001916,26223,3659.5,102066.42,35932.58,137999,A1
3G1TA5AF2HL150063,25832,3077.55,112879.95,27119.05,139999,A1
JS2ZC82S7F6301999,24142,3302.59,126020.18,28978.82,154999,A2
2GKFL8E36H6195029,27925,6606.1,301322.69,63676.31,364999,A1
MEX5J2609JT014072,34965,2854.87,154959.03,25039.97,179999,A1
5NPE24AF5FH084029,26068,5294.55,153260.21,51738.79,204999,A1
MRHGM6661EP066457,32102,3078.66,143484.19,24514.81,167999,A1
1FADP3K22GL367123,29451,5354.73,169083.46,48915.54,217999,A1
WVGGY65N9HK026512,34113,4842.55,239783.88,40215.12,279999,A2
WDCTG4GB4FJ087714,33289,5783.77,270271,54728,324999,A2
LSGHD52H5JD168609,32424,3830.25,136367.56,36631.44,172999,A2
WMWXR910XKTP82006,34388,9654.9,371463.55,88535.45,459999,A1
WBA1S1108H5H23130,36513,4170.69,298094.8,41904.2,339999,A1
WAU8CF8V6FA115215,31411,5786.01,233372.2,61626.8,294999,A1
U6YPC3AA5GL727180,28521,6422.95,213307.6,61691.4,274999,A1
MA6CC6CD2GT042121,37271,2853.41,91627.61,26371.39,117999,A1
1G1195SL1FF129863,37095,4443.11,175132.77,39866.23,214999,A1
TSMYDA1S9HM353016,34077,6670.14,193284.22,64714.78,257999,A2
VF1HR3NB0KC313697,37472,4901.72,356215.88,56783.12,412999,A1
3N8CP5HE7JL539522,38367,5882.52,266513.33,21485.67,287999,A1
3GNCJ7EB9EL185082,29599,3399.37,163851.41,26147.59,189999,A1
9FBHS2FH2JM554904,37363,3501.48,207133.36,30865.64,237999,A1
WAURYA8X0GB045944,31596,6131.49,213658.88,59340.12,272999,A2
9BWAG4128GT546275,31166,3977.87,114740.88,35258.12,149999,A2
3N1CK3CD0GL205633,28415,2569.58,145776.08,22222.92,167999,A1
3VWHW6AT3GM630628,31143,4043.78,209104.35,35894.65,244999,A1
JM3KE2D75F0546211,36362,4387.87,233913.43,39085.57,272999,A1
3C3AFFKR0GT142366,30766,3668.47,157557.22,32441.78,189999,A1
1G1Z95ST7GF278945,24827,4696.18,174265.19,50733.81,224999,A1
3KPA35AC1KE178835,27815,4467.11,245236.32,7762.68,252999,A2
WAUAFJ8V3H1070958,35049,6747.3,269034.33,60964.67,329999,A1
VSSBC6KJ7JR096648,33059,4644.8,216531.09,41467.91,257999,A1
3N6AD33A9JK856094,31946,5852.35,222332.96,52666.04,274999,A1
JN8BT27T6HW524293,34336,6652.8,225561.66,59437.34,284999,A1
3G1TA5AF5FL132735,37906,2969.75,81571.99,33427.01,114999,A1
3FAFP4TJ5FM125203,32115,3972.84,96191.14,41807.86,137999,A1
3FADP4EJXGM110198,37661,4261.06,108567.78,44431.22,152999,A1
2GNAL9EKXH1569732,34034,5576.32,233314.05,69684.95,302999,A1
5XYPG4A31HG290300,38843,7257.78,240442.56,77556.44,317999,A1
3VWWB6AUXGM033004,36466,4400.73,174922.85,43076.15,217999,A1
JS2ZC82S6D6107378,39419,3366.83,98289.52,36709.48,134999,A2
WAUAYJ8V7H1074215,32812,7980.3,250357.62,74641.38,324999,A1
3GNCJ7CE0HL243534,31834,3488.63,194221.78,33777.22,227999,A1
TMCJ33A34GJ073488,39438,6126.29,228591.55,61407.45,289999,A1
MEX6G2609FT107362,34186,3411.73,111404.81,31594.19,142999,A1
9FBHS1A69FM523043,33371,4027.53,112037.56,35961.44,147999,A1
VSSBC65F1HR029805,29846,4182.32,214149.75,40849.25,254999,A1
MB2C22ACXJM317018,33541,5370.77,212033.46,52965.54,264999,A1
MAJFP1GD9FC145586,38259,3144.32,73610.8,34388.2,107999,A1
WAUACJ8V9F1024895,40240,6931.15,206075.68,71923.32,277999,A1
3GNCJ7CE6FL235838,31057,4393.98,156450.24,41548.76,197999,A1
4S3GKAS66H3605134,40506,3103.23,253151.47,29847.53,282999,A1
MRHGM6665HP055630,38477,3947.62,173289.3,39709.7,212999,A1
LSGKB52H7KV225321,32761,5190.13,170721.66,42277.34,212999,A1
KNDPN3NA0H7348256,26313,5807.56,245388.67,52610.33,297999,A1
9FB562JB4HM542970,37682,3489.55,140224.1,17774.9,157999,A1
JN8BT27V7KW024099,30597,6084.51,378180.23,54818.77,432999,A1
3N1BC1AD2HK194609,30079,3283.08,121159.04,28839.96,149999,A1
WBATR9108JLC55596,35165,10425.15,504798.78,94200.22,598999,A2
3VWVB6AU7FM069307,36883,3321.03,196400.4,28598.6,224999,B
JTDKDTB30J1611776,24346,6656.04,216932.85,61066.15,277999,A1
ZFBCFABH5GZ037171,22373,4192.25,182964.27,42034.73,224999,A1
LSGKB54H5LV019395,36114,4497.81,203692.52,54306.48,257999,A1
JM1DKDD77G0127767,36478,6278.37,206908.73,63090.27,269999,A1
JN8BT27T3FW008969,33710,5002.29,231681.31,31317.69,262999,A2
3N1AB7ADXGL606382,25432,3890.16,121377.12,43621.88,164999,A1
3VVHP65N6JM039309,38771,6349.26,293169.55,66829.45,359999,A1
VSSBB6KJ0JR089429,40186,6307.97,171767.47,63231.53,234999,A2
3MDDJACV4JM305546,31122,5165.06,179248.04,50750.96,229999,A2
WDDBF4DB5GV126772,33431,7419.81,233061.05,76937.95,309999,A1
WAUACA8X3GB018605,32793,7237.19,229397.47,75601.53,304999,A1
LSGKB52HXKV159170,34174,4090.69,162341.27,45657.73,207999,A1
KL8CJ6CA8JC479228,29976,4226.78,121640.62,46358.38,167999,A1
JM3KE2D72G0712993,37174,4388.92,224786.74,48212.26,272999,A1
3VW7B6AU0HM045541,34361,4831.27,283440.98,6558.02,289999,A1
3N1CN7AD9EK459989,40896,2625.53,120206.93,9792.07,129999,A1
3N1CN7AD3HL864633,23482,3649.37,122914.28,45084.72,167999,A1
3C4PDCGB2KT763963,34232,7829.08,311971.91,78027.09,389999,A1
1HGRW1846HL901856,33962,5652.61,319461.21,60537.79,379999,A1
VSSBT65F2GR208482,40248,2897.69,222435.28,27563.72,249999,A1
JN8BT27T8GW513357,39614,4516.34,206047.17,43951.83,249999,A1
LSGHD52H7JD168384,36946,4208.61,111598.09,43400.91,154999,A2
U6YPB3AA6GL683757,37486,3922.67,207129.17,42869.83,249999,A1
WBA8A110XGK666296,25514,7314.14,227387.23,75611.77,302999,A1
MAJFP1MD1GA123342,31580,3672.56,91531.32,36467.68,127999,A1
JN8BT27T1GW015470,38300,4884.58,217318.71,47680.29,264999,A1
3N1CN7AD1HL893290,27911,4071.45,113828.08,44170.92,157999,A1
3MZBM2V71GM248079,38331,5214.21,152419.06,60579.94,212999,A1
JM1GJ1W34G1436566,36151,4516.34,216047.17,43951.83,259999,A1
VSSAA75F4J6557644,42301,4212.28,309624.8,45374.2,354999,A1
1VWBR7A32FC054842,37745,2338.95,183092.27,21906.73,204999,A1
VSSBB6KJ9JR076467,40835,4474.36,183186.51,46812.49,229999,A1
ML3AA28J8JH006399,37451,4436.12,128390.67,41608.33,169999,A1
MA6CA6AD4GT033011,29090,2315.31,81333,21666,102999,A1
TMCJ33A34HJ379656,39223,7555.74,261537.16,71461.84,332999,C2
VSSAA75F4H6566662,41109,7837.46,257482.54,80516.46,337999,A2
3VW1W2AJ1GM380802,38159,4320.94,156445.13,41553.87,197999,A2
VSSAE4NH2J1500800,36147,5321.63,162096.87,55902.13,217999,A1
MEX5G260XGT025461,29037,4200.49,109555.5,45443.5,154999,A1
3VWLW6AJ6GM243273,30556,4053.86,180729.23,39269.77,219999,A1
3VWLW6AJ4GM234104,40556,4493.26,214931.86,18067.14,232999,A1
3G1TB5AF4FL140659,33233,3336.99,82673.33,35325.67,117999,A1
3G1TA5CF9JL148975,40739,2640.76,115036.75,24962.25,139999,A1
JN8BT27T3FW012729,18227,4071.84,157702.84,55296.16,212999,A1
JM1GJ1U39G1457724,39829,5550.08,151343.9,71655.1,222999,A1
JM1BM1M31F1275662,37863,4567.72,181505.09,48493.91,229999,A1
3N1CK3CD2FL221072,29592,2828.83,84440.8,25558.2,109999,A1
WMWXR3101KTL03324,40345,6115.36,297274.4,82724.6,379999,A1
WDCTG4DB7JJ497162,40844,7020.34,339712.67,95286.33,434999,A1
VSSBB6KJ8KR001499,30421,5605.96,182472.15,67526.85,249999,A1
3N1CN7AD7FL921994,24271,3828.48,104218.41,45780.59,149999,A1
3N1CK3CD8KL213844,27793,3786.91,140848.82,47150.18,187999,A1
ML3AB26J7HH003259,29582,3103.47,98259.52,36739.48,134999,A1
3VVKP65N2JM060650,43463,3265.01,309671.81,40327.19,349999,A2
JM1BN1V35J1193311,42384,5492.66,184578.75,73420.25,257999,A1
3GNDJ7CE6KL272788,40908,3198.73,218042.36,44956.64,262999,A1
1HGRW1842KL916846,38832,7085.61,375700.94,62298.06,437999,A1
3GNCJ7EEXJL154475,27605,6145.38,228264.23,59734.77,287999,B
KL8CM6DA9KC781022,39369,4953.81,159193.94,55805.06,214999,A1
LSGHD52H6KD032328,41055,4446.82,124417.2,55581.8,179999,A1
3N1CK3CDXGL214727,31362,3026.16,118851.03,21147.97,139999,A1
9FBHS1FF4JM421750,39637,4668.02,141157.39,53841.61,194999,A2
3C4PDCCB4FT716946,43914,5700.75,169069.98,63929.02,232999,A2
TMCJU3AE0FJ755961,39944,5492.66,187343.69,70655.31,257999,A1
1HGRW184XJL907861,41802,6751.59,315175.05,84823.95,399999,A1
1C4RJEBG3FC860722,41635,5811.67,294175.43,73823.57,367999,A2
3VW7B6AU2FM068428,44093,4369.28,186817.08,48181.92,234999,A1
MALA84BCXFM072480,36020,3602.28,101861.61,38137.39,139999,A1
JM1DKDD75H0153902,40087,6083.5,229766.81,60232.19,289999,A1
3HGRU5730KM002020,40704,7267.84,259621.14,48377.86,307999,A1
JN8BT27T4GW516532,21064,2574.15,213963.94,24035.06,237999,A2
3VW4E6BU3LM032364,39576,5498.82,391481.48,61517.52,452999,A2
WBA8A1102HK673910,37953,7815.94,291519.53,91479.47,382999,A2
KNDPR3NC8H7222734,40758,6589.38,277034.58,72964.42,349999,C1
9FBHS2FF0HM599493,37884,4589.77,146746.87,58252.13,204999,A1
VF3CC5FS3HT001458,42280,4053.86,146247.28,53751.72,199999,A1
VSSAB46J3GR047890,39000,2846.31,117199.68,40799.32,157999,A1
JM3TB3DA3F0466274,41263,7020.36,205397.49,79601.51,284999,A1
8AFBR5AA0F6276633,38079,6349.47,180286.15,74712.85,254999,A1
3HGRM3871GG001065,43888,3154.61,290957.08,44041.92,334999,A1
3FADP4BJ4JM125646,41681,4645.87,133032.2,54966.8,187999,A1
19XFC1600JE601285,42596,6347.1,267648.41,80350.59,347999,A1
KNDMB5C2XK6485401,32513,7500.97,313094.26,84904.74,397999,A2
KNADN4A39H6019087,28994,4671.43,147045.56,42953.44,189999,A1
1GKKN8LS6HZ304354,41285,10621.1,321570.96,126428.04,447999,A1
WDC0G4KB6HF137769,37178,8678.55,422530.53,107468.47,529999,A1
3VWJW6AT5JM705211,36293,6629.75,238740.64,79258.36,317999,A1
3FADP4GX7GM129728,22147,5168.39,171329.92,58669.08,229999,A1
1C4AJPAB9FD328075,43058,3488.63,141085,46914,187999,A1
TSMYD21S0JM396736,40770,4773.26,183374.92,69624.08,252999,A1
WBA2A5106GV428215,37984,6781.76,200080.1,79918.9,279999,A1
JM1DKCC75J1309822,33352,6201.87,226831.5,71167.5,297999,A1
9FBHS1A6XFM112833,35752,3650.13,106711.61,41287.39,147999,A1
9FBHS2A65FM115743,45327,3450.09,116205.04,43793.96,159999,A1
9BD195521H0779078,38714,3366.58,108202.95,36796.05,144999,A1
3N1AB7AD6GL635393,43620,3411.54,149542.9,35456.1,184999,A1
JM1BN1L30J1187564,25981,6647.21,246638.91,41360.09,287999,A2
LSGHD52H7KD052622,36272,4228.16,130117.58,49881.42,179999,A1
JM1BN1L36H1152358,41033,4696.18,216596.77,58402.23,274999,A1
MALA74BC1GM112224,28284,3387.6,103598.41,36400.59,139999,A2
3N1CN7AD2FK404186,42360,3077.55,108201.62,31797.38,139999,A1
WDDKJ6FB7FF304469,44370,7446.84,342088.65,82910.35,424999,A1
VF3M45GY5KS000037,45521,6672.05,307549.95,82449.05,389999,A1
MALA74BC2GM122146,45466,3144.25,89156.76,43842.24,132999,A1
KNDPRCNCXH7210102,43826,7725.36,272522.5,93976.5,366499,A1
KNADM4A36H6018045,45776,4754.52,136363.86,48635.14,184999,A1
3VW1K1AJ2GM383357,40924,4227.18,137598.15,55400.85,192999,A1
VSSFK46J6FR054000,43540,4107.32,123390.74,39608.26,162999,A2
MAJFP1GD5FC144001,41101,3666.92,104175.89,3823.11,107999,A2
LSGHD52H5KD115099,30238,5786.79,177086.37,5912.63,182999,A2
5XYPH4A51GG120032,29291,7085.61,256011.89,81987.11,337999,A1
3VWJW11K0AM072126,45135,3359.57,106481.5,3517.5,109999,A1
3G1J85CC7ES672114,44297,2989.01,116136.19,3862.81,119999,A1
3G1TA5AF8FL179502,46241,3662.64,116233.29,3765.71,119999,A2
MEX612602HT076265,46289,3335.44,170795.42,4203.58,174999,A1
MB2C22AC1HM177628,41439,4824.65,184850.9,55148.1,239999,A1
9BD195A8XG0709040,39175,4445.66,140478.3,4520.7,144999,A1
3N1AB7AD5GL623168,22751,3857.27,126337.86,43661.14,169999,A1
MA6CB6AD8GT044168,21331,2306.77,84740.28,25258.72,109999,A1
KNDPR3NC1H7200252,40214,5924.86,331801.6,3197.4,334999,A1
JM1BN1W31H1148875,44496,7043.67,262633.82,7365.18,269999,A1
9FBHS2FH3KM489952,37839,6864.33,261087.94,6911.06,267999,A1
3HGRU5859GM026081,28843,7562.48,261699.37,1299.63,262999,A1
3HGRU5858HM011685,36170,6617.15,222694.92,67304.08,289999,A1
3MZBM2V72FM216806,45062,3419.49,171951.38,38047.62,209999,A2
19XFC1608GE600040,37808,6954.53,215586.83,72412.17,287999,A2
9FBHS2AA0GM570800,46667,3834.08,181077.28,3921.72,184999,A1
3VWLW6AJ2HM265563,29874,7212.93,247716.12,7282.88,254999,A1
3G1J85CC2GS583103,39572,4602.28,140189.21,4809.79,144999,A1
JS2ZC82SXG6303778,45791,2897.69,122857.69,32141.31,154999,A1
JN8BT27T4GW015401,27533,4220.69,248487.36,4511.64,252999,A1
KL4CJ9E87FB247553,29322,5903.91,232048.24,5950.76,237999,A2
MALA85BC1FM114850,38934,4230.74,123560.95,4438.05,127999,A1
JN1AF55C8GT200347,40538,4714.49,204747.94,53251.06,257999,A2
VSSDE65F5FR012649,43986,3576.19,211374.55,3624.45,214999,A1
5NPDH4AE8GH710367,37736,3554.38,155504.62,34494.38,189999,A2
JTDKBRFU7H3043276,39991,6852.17,286294.06,6704.94,292999,A1
VSSBC26J5HR000853,44085,4330.22,134919.23,28079.77,162999,A1
ML3AF56J3KH001165,24927,2931.12,207019.17,2979.83,209999,A1
MEX5G2608JT101363,45654,3102.21,144508.13,28490.87,172999,A1
JM1DKDD7XJ1327902,43345,4222.07,318729.01,4269.99,322999,A1
3FADP4CJ2GM115527,21772,5185.64,177621.04,5377.96,182999,A1
2T3ZFREV3HW386919,44585,5727.89,244053.27,60945.73,304999,A1
2T3DF4EVXFW318000,41913,4545.01,293406.17,4592.83,297999,A1
JM1BM1U38F1276047,33284,6107.52,206610.33,6388.67,212999,A2
WVGGX65N3EW071405,34200,4670.13,203003.55,4995.45,207999,A1
WVGGX65N1GW596837,46634,4391.2,202996.87,50002.13,252999,A1
WAUACJ8V5E1020373,29333,5349.96,237601.57,5397.43,242999,A1
WAU9FD8T1GA031786,40806,6070.35,428881.66,6117.34,434999,A1
MEX5G2600GT062860,42288,5220.84,162604.4,5394.6,167999,A1
5YFBURHE3FP339836,41896,3429.39,186521.07,3477.93,189999,A1
3VWJW6AT7HM603984,43008,4929.28,223114.84,49884.16,272999,A1
2FMPK3AP1GBB75805,38392,7060.12,303838.27,74160.73,377999,A1
VSSHY26J2ER116972,42468,4397.94,116470.25,43528.75,159999,A1
ML3AB26J9JH005214,45384,4912.46,152792.49,5206.51,157999,A1
5NPD74AF1HH178215,43357,4760.98,169819.62,48179.38,217999,A1
3VWJW6AT5FM640187,42282,5477.02,206794.67,6204.33,212999,A1
3FAFP4AJ4EM194434,40424,3505.77,114440.16,3558.84,117999,A1
5NPDH4AE9GH705968,31067,4079.55,143696.01,46302.99,189999,A1
3N1CK3CDXFL253882,43849,3198.88,94567.53,30431.47,124999,A1
3C4BDCAB3FT592973,44569,4432.72,190978.6,47020.4,237999,A1
3MDDJACV6GM107222,41128,4206.4,149874.83,48124.17,197999,A2
3G1J85CC5GS601321,45294,3279.12,121056.99,28942.01,149999,A2
MEX5H2601JT088436,35120,4897.34,195054,4945,199999,A1
JM1DKCC7XJ1304115,38243,7194.56,208902.34,86096.66,294999,A1
VSSMK46J6DR178563,44143,4649.21,125547.46,4451.54,129999,C2
3G1J85AC9GS559044,43403,4527.92,148367.98,4631.02,152999,A1
3KPF14BD9KE002726,46254,7111.76,242830.94,7168.06,249999,B
VSSDE65F8FR000804,43024,3517.47,209433.21,3565.79,212999,A1
3N1AB7AD9HL705969,45527,5877.82,203981.94,6017.06,209999,A1
3KPF14BD7LE112949,44276,6496.07,233180.7,6818.3,239999,C1
WAUAYJ8V2G1039807,36945,7696.72,280255.86,7743.14,287999,A1
1GNKR8KD9HJ263131,36656,8702.55,370437.31,9561.69,379999,C1
